,czone_x,statefip,yr,t2,timepwt24,d_impusch_p9,d_impuschm_p9cen,d_impuschf_p9cen,d_impotch_p9_lag,czone_y,d_avg_lnwkwage,d_avg_lnwkwage_m,d_avg_lnwkwage_f
0,100.0,47,1990.0,0.0,0.0021135223,1.3689955,0.8532123,0.51578337,1.2147061,100.0,11.314535,8.091927,16.92996
1,100.0,47,2000.0,1.0,0.0028936442,2.170298,1.2343497,0.9359484,2.5258045,100.0,1.8803732,0.32132012,5.592074
2,200.0,47,1990.0,0.0,0.0007316998,2.093069,1.2748256,0.8182435,1.5061153,200.0,6.3352585,0.95882416,14.564991
3,200.0,47,2000.0,1.0,0.00114158,2.6043844,1.6067436,0.99764055,3.1094522,200.0,0.93548644,-1.6826222,5.594458
4,301.0,47,1990.0,0.0,0.00026079992,1.9771587,1.2261435,0.75101537,0.8137203,301.0,4.452181,1.6530514,10.382938
5,301.0,47,2000.0,1.0,0.0003365446,3.5518208,1.7349491,1.8168715,0.80250084,301.0,2.271516,-2.4548259,9.7604475
6,302.0,47,1990.0,0.0,0.0025694722,0.6606544,0.3190704,0.34158406,1.1038346,302.0,16.339588,12.603998,21.750546
7,302.0,47,2000.0,1.0,0.0036462445,1.0144107,0.49648798,0.51792276,1.4348624,302.0,4.416602,2.9965808,6.6804886
8,401.0,37,1990.0,0.0,0.0017144891,2.5651677,1.5239145,1.0412531,1.255324,401.0,12.081194,7.9508305,16.59689
9,401.0,37,2000.0,1.0,0.002457615,1.4636605,0.73759687,0.72606367,3.2284274,401.0,-3.5230093,-6.7160473,1.0607584
10,402.0,51,1990.0,0.0,0.00036491992,3.1041288,2.0228343,1.0812947,1.621691,402.0,11.254883,6.152487,16.88714
11,402.0,51,2000.0,1.0,0.0004575155,3.3286738,1.9044688,1.4242051,2.5367222,402.0,-1.0995865,-5.3721156,5.3976603
12,500.0,37,1990.0,0.0,0.0036667995,2.1268678,1.1614156,0.965452,1.1052779,500.0,15.707827,12.465477,19.883633
13,500.0,37,2000.0,1.0,0.0053025647,2.6129494,1.3592699,1.2536795,2.607691,500.0,-2.1424975,-5.3687096,1.4140947
14,601.0,37,1990.0,0.0,0.00033063622,2.6136765,1.6407808,0.9728957,3.0995407,601.0,19.599247,19.138193,19.824839
15,601.0,37,2000.0,1.0,0.0004509803,4.4616356,1.6903672,2.7712684,3.8295906,601.0,-6.034579,-12.097426,2.403668
16,602.0,51,1990.0,0.0,0.00023671357,3.1964242,2.173076,1.0233481,4.0673223,602.0,15.137768,15.364981,14.8592
17,602.0,51,2000.0,1.0,0.00032134968,6.4085827,2.7257977,3.682785,3.8925126,602.0,-3.2738957,-4.508972,-0.72635925
18,700.0,45,1990.0,0.0,0.0012799399,1.0795747,0.72296846,0.35660627,1.0838604,700.0,14.160681,11.282921,18.8797
19,700.0,45,2000.0,1.0,0.0017696571,1.4962385,0.9391146,0.5571237,1.9150946,700.0,1.6833034,0.94127655,2.7919497
20,800.0,37,1990.0,0.0,0.0014763501,1.2563863,0.7293067,0.5270795,0.9361825,800.0,14.1272545,11.23867,17.10062
21,800.0,37,2000.0,1.0,0.0020623468,2.322697,1.2260946,1.0966022,1.8921651,800.0,-0.132152,-1.2180464,1.8713133
22,900.0,37,1990.0,0.0,0.0044559706,0.84461516,0.50790364,0.33671147,0.7379278,900.0,19.465113,16.050005,22.997665
23,900.0,37,2000.0,1.0,0.007154519,1.2208959,0.64210904,0.5787869,1.2394686,900.0,2.9980114,1.7536709,5.5076056
24,1001.0,37,1990.0,0.0,0.00026604556,1.6301771,0.7579281,0.8722491,1.5925536,1001.0,11.173391,9.296465,13.844919
25,1001.0,37,2000.0,1.0,0.00039150598,1.7285889,0.50645214,1.2221366,1.6924117,1001.0,0.7411412,2.9724667,-1.9664083
26,1002.0,37,1990.0,0.0,0.00057245255,3.146487,1.7062138,1.4402734,2.1454713,1002.0,13.332701,10.301113,16.834784
27,1002.0,37,2000.0,1.0,0.00082599034,4.378543,2.1304963,2.2480462,4.232324,1002.0,-2.4510112,-5.426475,1.3657979
28,1100.0,37,1990.0,0.0,0.0012567024,3.6057484,1.9794772,1.6262712,1.9273845,1100.0,17.61036,14.463282,20.96548
29,1100.0,37,2000.0,1.0,0.0018897582,4.7026205,2.4901364,2.2124844,4.168778,1100.0,-2.4100711,-5.0247054,0.99011827
30,1201.0,37,1990.0,0.0,0.00014103933,0.6370307,0.3295931,0.30743763,1.7399582,1201.0,12.3055935,7.850075,17.17472
31,1201.0,37,2000.0,1.0,0.00022383536,1.6683294,0.6781019,0.99022734,1.8951727,1201.0,-1.0852814,-3.8390841,4.1251183
32,1202.0,37,1990.0,0.0,0.00018193867,1.9915402,0.9146344,1.0769058,6.106096,1202.0,16.466331,11.307001,21.489096
